pmaster_sku,band_lw,pv_lw,pv_l30d
1987419248454,B,23,
2478334184471,B,23,
5866985354538,B,23,
9837888292293,B,23,
8700233285237,B,23,
8448611709752,B,23,
7174417134504,B,23,
1589987445947,B,23,
9953045858180,B,23,
8755354547306,B,23,
5931843791825,B,279,
3170499516607,B,279,
7640956965419,B,279,
3066428745021,B,24,
1852282466900,B,24,
4747474134119,B,24,
1823614342592,B,24,
9963345799210,B,24,
7841557931019,B,24,
8729889465517,B,24,
1225605102639,B,24,
4221848614562,B,24,
1177607629734,B,24,
3185901074426,B,24,
1857853487477,B,24,
8402895276423,B,24,
7257342528379,B,24,
4856910682118,B,24,
2242827227439,B,24,
6805613989326,B,24,
8191539332746,B,24,
4773448347759,B,24,
7150785794038,B,24,
9558945930874,B,24,
9379847037397,B,24,
1688407378978,B,24,
3080069197917,B,24,
1296653195765,B,24,
7517761819966,B,24,
9263870515408,B,24,
3873512816406,B,24,
2720926220150,B,24,
4468141462134,B,24,
8049255030892,B,24,
7715122083383,B,24,
6203063039978,B,24,
3851713456418,B,24,
6839007778162,B,24,
7182613785543,B,24,
1664210126081,B,24,
8683053544173,B,24,
2342255173644,B,24,
3509840515301,B,24,
4915283192068,B,24,
7078104850623,B,24,
5358706989302,B,24,
1841430253645,B,24,
9109142242246,B,24,
1992246141816,B,24,
8712381921517,B,24,
9895327972752,B,24,
1746957149856,B,24,
3457395441090,B,24,
4700523998822,B,24,
2569881448403,B,24,
3291653547852,B,24,
6234638534604,B,24,
6042833681431,B,24,
2851783946576,B,24,
7869772586548,B,24,
7469484697634,B,24,
8430101102291,B,280,
7196895700859,B,280,
9377830964750,B,25,
7174646200568,B,25,
3818696153825,B,25,
9204459905928,B,25,
3883551163434,B,25,
8972320790881,B,25,
4597467404244,B,25,
5980145499898,B,25,
8656710527508,B,25,
6814561682759,B,25,
7504168580289,B,25,
1283552147549,B,25,
7907344507062,B,25,
3997843086506,B,25,
6576035242880,B,25,
6511778171310,B,25,
2128022283130,B,25,
7888442268034,B,25,
9542281419815,B,25,
2559058020372,B,25,
9837582762852,B,25,
1599435780896,B,25,
9501185019319,B,25,
6547977580923,B,25,
2028658096440,B,25,
5990902115924,B,25,
2406677198060,B,25,
7362271606983,B,25,
2434597010892,B,25,
4388014980271,B,25,
9291692751573,B,25,
8998474029776,B,25,
9660500603777,B,25,
8078390748279,B,25,
1332942163325,B,25,
6306889763594,B,25,
3682052629766,B,25,
6211650237624,B,25,
5612790623551,B,25,
2999410852265,B,25,
7253721546491,B,25,
1702748852536,B,25,
8208623263983,B,25,
6598625775051,B,25,
5312687707156,B,25,
6414608874519,B,25,
7422725673322,B,25,
8170915319084,B,25,
3415451794557,B,25,
7917717622196,B,25,
4453294931112,B,25,
2580672062460,B,25,
5668483806363,B,25,
9696563490696,B,25,
8412019161877,B,25,
6197375928702,B,25,
2107489938346,B,25,
6965303546775,B,25,
7378722683850,B,25,
3254141019590,B,25,
4423263333757,B,25,
9033937738808,B,25,
2243241231491,B,25,
3883287572234,B,25,
2189309656052,B,25,
3466676055367,B,25,
8942015119977,B,25,
4167287855351,B,25,
2485883944043,B,25,
5391652342996,B,25,
9247320315790,B,25,
8891724937145,B,25,
1206059127463,B,25,
5132869120300,B,25,
1617667974576,B,25,
3694978253130,B,25,
6570993376184,B,25,
6716773428433,B,25,
7918982614142,B,25,
1404960420218,B,25,
7204954299388,B,25,
4148860120706,B,25,
5179850337224,B,25,
4983366102594,B,25,
3643833709505,B,25,
5986278265295,B,25,
5827811966685,B,25,
2655987651370,B,25,
9623410260553,B,25,
1454268186988,B,25,
7530355790514,B,25,
3452097092845,B,25,
7654154778754,B,25,
2086122028038,B,25,
4938317472109,B,25,
8777337779259,B,25,
6154065290319,B,25,
3771252275092,B,25,
9221656115646,B,25,
3929160666246,B,25,
8970658741681,B,25,
7787905712001,B,25,
9711717486569,B,25,
6536741393655,B,25,
2557233271090,B,25,
6678355411177,B,25,
3914693176638,B,25,
7916290058122,B,25,
5874405967757,B,281,
6567707189666,B,281,
6142547915288,B,281,
9762574009120,B,26,
7451629514352,B,26,
8907981773009,B,26,
7035043554473,B,26,
9770232333320,B,26,
8154094770805,B,26,
1691894372636,B,26,
5513658840027,B,26,
8768477462203,B,26,
5654309616605,B,26,
6493747962405,B,26,
5543055319635,B,26,
6446272101542,B,26,
1070712802123,B,26,
1241074667655,B,26,
3536435904165,B,26,
2007909020649,B,26,
6077557677027,B,26,
3603581117968,B,26,
1895872346662,B,26,
5228105397817,B,26,
5856928227955,B,26,
5781043100036,B,26,
8144035325720,B,26,
9403262792829,B,26,
1186942325549,B,26,
5882627552262,B,26,
7814957115549,B,26,
5966045103128,B,26,
6145530999898,B,26,
3059263088611,B,26,
5805950534385,B,26,
4564832426415,B,26,
1476219856110,B,26,
7549697435861,B,26,
5752777070544,B,26,
2698394949159,B,26,
8593458199302,B,26,
8044462795984,B,26,
6535245323865,B,26,
1631895093212,B,26,
6337676829739,B,26,
6268567922263,B,26,
2994582108316,B,26,
8825443293084,B,26,
8025289013673,B,26,
6510987791722,B,26,
9713706853156,B,26,
7037459044491,B,26,
4707209688904,B,26,
1470362574066,B,26,
7405354800122,B,26,
3557613346485,B,26,
8931847347855,B,26,
8030932039817,B,26,
7968877756422,B,26,
3011991559412,B,26,
7899111255361,B,26,
5094347652751,B,26,
1623135007664,B,26,
4251621432617,B,26,
4362642799077,B,26,
8992925989404,B,26,
3572771147090,B,26,
1746415185220,B,26,
4931068136645,B,26,
7662884004791,B,26,
6562208875768,B,26,
8917050269004,B,26,
8992221158696,B,26,
2654812558576,B,26,
3738242281139,B,26,
8613144924073,B,26,
2964263588261,B,26,
2151530097056,B,26,
6812728533760,B,26,
1596457688841,B,26,
4583195960299,B,26,
6818556855376,B,26,
4954789459724,B,26,
9995811206408,B,26,
2366809588603,B,26,
3814448778585,B,26,
4244792775064,B,26,
7730563570244,B,26,
1699036871047,B,26,
3339704834232,B,26,
9412781445665,B,26,
4912655928331,B,26,
9215816484338,B,26,
1585809034049,B,26,
6107492500606,B,26,
1446017738295,B,26,
6847434176253,B,26,
2372089658020,B,26,
2802432252125,B,26,
2338279998123,B,26,
1351306487767,B,26,
2232075633588,B,26,
2775111733533,B,26,
5373509403067,B,26,
1225200536953,B,26,
2791995433196,B,26,
3076788224492,B,26,
