product_skus, product_id, brand_id, is_finished_verifying
['5579184216910', '8171194129784', '4104748738884', '4874949494628', '5010570882512', '6950322407428', '9883312770936'], 601585, 111391, None
['3119442953724', '9401163163860', '5763558872714', '2415071337036', '8523442776156', '6976443891687', '8458452091268', '7499170016967', '9516970321904', '4589957039821', '6179881587104'], 14696146, 400351, None
['8439076966156', '2544572466980'], 14966671, 111461, None
['4078698215651', '3322247792386', '9956106577452', '2059417412546'], 15085383, 145040, None
['4458366252681', '5214723590068'], 15098951, 111461, None
['5312459523500', '2687760329855'], 15132105, 217959, None
['8275037232812', '4964451379992'], 15231979, 164597, None
['3157622364151', '7468358223077', '2403127851377', '6754613804398'], 15248964, 111461, None
['4378564609738', '7751204199139', '8698064110265', '1389395839617', '2098042444423', '1271613866935', '4666651223647', '5175099665401', '2502543836392', '4450755920174'], 15251528, 111461, None
['7897696542142', '2049669680121', '7906959893744', '7292605489592', '4142904155571', '8826333642128', '4356798471902', '6035238645062'], 15254252, 111461, None
['6197702013095', '9208427250966'], 15261162, 179379, None
['4329393925490', '3110055682544', '8945893450940', '9024725869590', '8169963083832', '9730090543656', '9239831695861'], 15270539, 27464, None
['1993548886856', '2647721713161'], 15331289, 409159, None
['1463191333293', '5199826089315'], 15333747, 221061, None
['6501821648401', '1254878798869', '6822610146349', '7043962112490'], 15342108, 111461, None
['4534882413925', '5371673226307', '9329626895947', '8776008120505'], 15342110, 111461, None
['2231756787930', '2604783961404', '6313377556013', '4295922656091', '1083746043432'], 15384829, 410047, None
['7878873098799', '4365857983163', '5139651839822', '9100916898966', '9109549763450', '2081114812893', '2887996289309', '5649686820752', '8904640805037', '7915028634857', '8135148872023', '4261866765896', '7967043578244'], 15401841, 111461, None
['6277591993125', '7035032855185', '7604528270483', '7520894035153'], 15421361, 63950, None
['1536077612284', '6018158468492'], 15523289, 358417, None
['7357919415702', '9222867567705', '5389175780456', '4152427497942', '9771929224162', '7024229298571'], 15612282, 25422, None
['3597993493850', '6215369503022', '6410787054205'], 15632293, 111461, None
['2720926220150', '5075307467929'], 15661143, 111461, None
['9910942057677', '2093324066034'], 15672305, 168073, None
['7366119324509', '6084643900259'], 15784900, 111461, None
['1609162718076', '9874479876593', '1944208319924', '3473880103432', '2027281021035', '7150468192351', '3104946315335', '5057423394412', '4940278200049', '3265023071452'], 15813375, 111461, None
['2975016355315', '4912716767596', '4919912205039'], 15957304, 111461, None
['7323722153568', '8531473166846'], 16082813, 414889, None
['5134095072064', '7851410747596', '3764666167466'], 16125115, 18805, None
['9538196838639', '5610784436305', '6544795626464'], 16155644, None, None
['6369154865861', '5919377486896'], 16187472, 151735, None
['3074232608737', '8383968992474'], 16214220, 47663, None
['4808210264252', '6096858986881', '7528750558228', '3970890195521'], 16219735, 111461, None
