Pmaster Sku,Pageview,Selection
7802333219240,2244,1
5734636310183,2243,1
2892049149974,2241,1
9172352027338,2239,1
5149218524214,2236,1
6599963655689,2236,1
1567609499178,2235,1
5647565952853,2233,1
5347164230856,2232,1
4508825855038,2231,1
3207500662333,2230,1
3439974722559,2227,1
9954771656521,2226,1
4160098357540,2224,1
2065363612220,2213,1
5920391212033,2209,1
1549578999167,2202,1
7727189579891,2200,1
4771691151314,2188,1
8034013889774,2183,1
8006426668062,2180,1
6775118320299,2176,1
5142988007412,2175,1
5980209870911,2170,1
4152923930455,2162,1
4567775441462,2158,1
5279951395588,2158,1
2930157882922,2148,1
5384005484764,2148,1
9554778221279,2146,1
5407881736182,2144,1
6800898392829,2140,1
6725962688458,2135,1
4621140978125,2125,1
2667443361938,2120,1
4896032791728,2118,1
5921659206513,2113,1
1409791810079,2112,1
1258065235311,2109,1
6070960067812,2103,1
3419152905923,2102,1
6198199622814,2102,1
1163087410939,2099,1
6546629991054,2096,1
3857321939002,2081,1
1332877312290,2078,1
4928186521248,2075,1
7472621916511,2072,1
9065228641221,2071,1
7079127699100,2067,1
8297329578309,2065,1
6815994454112,2057,1
1743515969484,2056,1
5247320868230,2054,1
6764163877490,2049,1
4746010456036,2048,1
2040051612591,2046,1
6888275518789,2030,1
7173686203172,2027,1
4731802106183,2026,1
8353839457120,2025,1
8209875271863,2021,1
3548828311191,2020,1
9898620450722,2010,1
1839478484680,2008,1
2518407786529,2006,1
9051656925678,2002,1
5279279795698,2000,1
1892132651712,1992,1
2430006767948,1992,1
3328005616338,1988,1
5007615053793,1986,1
8139431441488,1983,1
9883796541046,1981,1
6526586314064,1976,1
8790581975829,1974,1
3459659001208,1973,1
6427684519255,1972,1
8617172861708,1970,1
7298624622163,1969,1
4727266638454,1968,1
2567942427701,1961,1
4121961512138,1961,1
1362411399053,1960,1
2381247350298,1960,1
9575574244631,1958,1
1339434882487,1953,1
5333159257922,1949,1
1696225140301,1945,1
7209684701583,1941,1
1794852660904,1939,1
4583063941436,1939,1
9986522202973,1936,1
1770468875180,1932,1
7642430748044,1932,1
7631606814260,1931,1
6746428520679,1926,1
3784971549863,1925,1
1462302977939,1923,1
3660830055297,1919,1
1662990500091,1914,1
9778733355577,1911,1
5256632806758,1907,1
6175943465745,1906,1
4682644823724,1905,1
7463662276511,1905,1
1125645575030,1892,1
2135883312978,1892,1
7692511560614,1892,1
4746981416862,1888,1
8142615519804,1887,1
9261721572103,1886,1
6464335587492,1885,1
6816121404742,1883,1
8729843325386,1882,1
7332466162606,1878,1
8490363516790,1877,1
9304987578929,1876,1
2981770370112,1873,1
3053421255372,1872,1
9239925876303,1872,1
1954346743673,1866,1
8402110556088,1866,1
1242423091602,1864,1
3420708300205,1857,1
1418140204100,1856,1
4197320121582,1856,1
1471248699858,1846,1
1970316242755,1843,1
8929931276372,1841,1
6643611620766,1840,1
9118317381994,1838,1
7082803191232,1837,1
7316437175994,1835,1
1792671160144,1833,1
2160155764221,1832,1
5006891698567,1829,1
6534551832935,1829,1
2592205171428,1828,1
3981517443238,1828,1
8835848294463,1828,1
7612678422008,1826,1
4218920353717,1824,1
5863267393279,1824,1
7257814713739,1823,1
3481372510487,1822,1
6372567555779,1817,1
8621265053987,1812,1
4657579364147,1810,1
