pmaster_sku,band_lw,pv_lw,pv_l30d
1171907135108,B,28,
2216381602698,B,28,
9668277441554,B,28,
3658088277101,B,284,
3225233705028,B,29,
9627641923561,B,29,
6763688840552,B,29,
3943115485001,B,29,
2687599720670,B,29,
9600450651684,B,29,
7147817838402,B,29,
8239944308419,B,29,
6316253632337,B,29,
4625346083553,B,29,
6135182502325,B,29,
2324096861399,B,29,
5289070441321,B,29,
5816998309360,B,29,
1685725097453,B,29,
6985024136668,B,29,
8955624010369,B,29,
3618161138558,B,29,
1162995053709,B,29,
6963182197019,B,29,
2006098500468,B,29,
9526080710551,B,29,
1717802257134,B,29,
6016218936158,B,29,
7136996289440,B,29,
2759356206533,B,29,
9356020576966,B,29,
8017885687355,B,29,
8186056845698,B,29,
5879946672573,B,29,
6485253579772,B,29,
8585055915827,B,29,
1992246141816,B,29,
5308051564291,B,29,
7017904192789,B,29,
4217634766858,B,29,
6272493413112,B,29,
7103107728969,B,29,
5194311964429,B,29,
5423091773855,B,29,
8562114825892,B,29,
9544469650345,B,29,
7739357444161,B,285,
5923135106540,B,285,
8888175895982,B,30,
3303997676863,B,30,
1432313297966,B,30,
4042936515469,B,30,
3184171610656,B,30,
2462621157336,B,30,
4908984439822,B,30,
5622730105487,B,30,
4382602740196,B,30,
8782152391935,B,30,
8235807246364,B,30,
6249379773922,B,30,
7219370692958,B,30,
2599193115371,B,30,
9578993873860,B,30,
4553097201568,B,30,
4213968202574,B,30,
7784312294056,B,30,
6806554883009,B,30,
3033598486998,B,30,
5359232987093,B,30,
9595266169468,B,30,
4372326288346,B,30,
9618447357390,B,30,
7531077661908,B,30,
7788454748522,B,30,
7152648170657,B,30,
5958572288180,B,30,
4003649366854,B,30,
8393103486269,B,30,
9175790663634,B,30,
6173057533457,B,30,
4750631727963,B,30,
3468056088569,B,30,
1332942163325,B,30,
3393470640988,B,30,
3288063578627,B,30,
9735055688186,B,30,
4614020689365,B,30,
1166151126764,B,30,
3725833949033,B,30,
5467880489263,B,30,
5814400998661,B,30,
9722279928991,B,30,
9500440529068,B,30,
7585314578403,B,30,
3954125153551,B,31,
9057585131850,B,31,
1869905575608,B,31,
1335232287775,B,31,
1244118173303,B,31,
1796916228230,B,31,
2953593574978,B,31,
1296625617967,B,31,
1610335640470,B,31,
3185901074426,B,31,
8046526293589,B,31,
2368613393651,B,31,
6224714834965,B,31,
9584711345915,B,31,
3241234409749,B,31,
8061607500838,B,31,
2458261946692,B,31,
9263870515408,B,31,
7578007163728,B,31,
4392938006718,B,31,
2196071501522,B,31,
6818620806858,B,31,
7311756177878,B,31,
5850499227687,B,31,
5062413244950,B,31,
5150574777078,B,31,
8408191868888,B,31,
8400920182505,B,31,
6827743343578,B,31,
9487802432535,B,31,
7668414013848,B,31,
8277410348422,B,31,
1496490496922,B,31,
2663282692148,B,31,
9130287809896,B,31,
1042692116508,B,287,
2410994630370,B,287,
7006470047731,B,32,
5267823347438,B,32,
1158701828448,B,32,
9696563490696,B,32,
6855826064217,B,32,
9174464957505,B,32,
6949825285083,B,32,
4715780662596,B,32,
9757395070484,B,32,
3849784201729,B,32,
5512501312216,B,32,
2185187400145,B,32,
7480618687027,B,32,
3407082685991,B,32,
5986278265295,B,32,
5638399375307,B,32,
8072790554895,B,32,
2167668387077,B,32,
6616460325171,B,32,
7769332528264,B,32,
7449789551327,B,32,
8227927258455,B,32,
7640650302029,B,32,
2453556343448,B,32,
4094038648549,B,32,
4468141462134,B,32,
8220228523323,B,32,
7084236447122,B,32,
1486537375221,B,32,
5883521215945,B,32,
9814325463420,B,32,
3290729473252,B,32,
1420818823493,B,32,
6464220627532,B,32,
6459971850850,B,32,
8285128002163,B,32,
2432057102835,B,32,
8771212458904,B,32,
3995276368745,B,32,
7724577777394,B,32,
6280702763770,B,32,
2526360356121,B,32,
1857853487477,B,32,
8906619027686,B,32,
3851713456418,B,32,
8168542629244,B,33,
5456986784209,B,33,
6341361260793,B,33,
7999415102301,B,33,
6276532850244,B,33,
4854549205845,B,33,
5880370586859,B,33,
6386531702754,B,33,
9697136284169,B,33,
1135397067545,B,33,
1892855285072,B,33,
1201712106055,B,33,
5338325319190,B,33,
7697531126830,B,33,
6315599167046,B,33,
6116837685304,B,33,
9373905416974,B,33,
9561423431716,B,33,
8735017099809,B,33,
4559620466043,B,33,
4127940435252,B,33,
5343469455833,B,33,
3638125338810,B,33,
2843573082286,B,33,
2145129693103,B,33,
2858340719575,B,33,
4989065195693,B,33,
4993857510975,B,33,
1231611192481,B,33,
7750692216885,B,33,
9189106975256,B,33,
4221848614562,B,33,
4448674827565,B,33,
2440231427944,B,33,
2048741141017,B,33,
2630352916168,B,33,
8647337948050,B,33,
1612734185602,B,33,
8089648520890,B,33,
8845019539663,B,34,
8899554551794,B,34,
1056983200530,B,34,
6318212576612,B,34,
2452423737767,B,34,
3071169825972,B,34,
4167755983840,B,34,
3805416760010,B,34,
2878135052849,B,34,
8448611709752,B,34,
8736316431929,B,34,
4535357763348,B,34,
1276451825311,B,34,
8232293290906,B,34,
2837630409157,B,34,
4175370517109,B,34,
7201653769024,B,34,
8284438580538,B,34,
9659808343386,B,34,
5007960457052,B,34,
2514685909272,B,34,
7538779525534,B,34,
5146495647755,B,34,
8659141504643,B,34,
3218947193093,B,34,
1416980452422,B,34,
9356447363873,B,34,
2517710606548,B,34,
7737156351151,B,34,
